test_id,company_id,governorate,region,source_type,year,month,season,pH,turbidity_NTU,TDS_mg_L,chlorine_mg_L,EC_uS_cm,nitrate_mg_L,nitrite_mg_L,ammonia_mg_L,iron_Fe_mg_L,manganese_Mn_mg_L,sulfate_mg_L,hardness_mg_L,chloride_mg_L,DO_mg_L,coliform_CFU_per_100mL,pH_compliant,turbidity_compliant,TDS_compliant,chlorine_compliant,nitrate_compliant,coliform_compliant,potable
293,6,Dakahlia,Delta,Canal,2021,7,Summer,7.56,2.1,281,0.49,528,7.34,0.026,0.29,0.175,0.045,48,122,35,10.0,1,1,0,1,1,1,0,0
294,6,Dakahlia,Delta,Canal,2021,3,Spring,7.67,1.52,309,0.54,506,5.37,0.023,0.043,0.12,0.031,59,147,40,10.0,0,1,0,1,1,1,1,0
295,6,Dakahlia,Delta,Canal,2020,3,Spring,7.42,1.66,286,0.54,512,4.98,0.028,0.145,0.041,0.036,42,153,62,10.0,0,1,0,1,1,1,1,0
296,6,Dakahlia,Delta,Canal,2021,10,Autumn,7.54,1.24,272,0.52,448,7.11,0.019,0.199,0.085,0.04,51,154,41,10.0,0,1,0,1,1,1,1,0
297,6,Dakahlia,Delta,Canal,2020,2,Winter,7.73,1.17,263,0.5,495,3.33,0.011,0.091,0.157,0.037,41,166,44,10.0,0,1,0,1,1,1,1,0
298,6,Dakahlia,Delta,Canal,2022,9,Autumn,7.56,0.31,249,0.53,502,7.3,0.019,0.158,0.094,0.031,31,140,48,10.0,0,1,1,1,1,1,1,1
299,6,Dakahlia,Delta,Canal,2022,12,Winter,7.71,0.68,253,0.41,499,3.35,0.025,0.108,0.103,0.025,45,120,55,10.0,2,1,1,1,1,1,0,0
300,6,Dakahlia,Delta,Canal,2022,9,Autumn,7.61,1.32,317,0.41,529,5.39,0.022,0.163,0.095,0.035,45,151,49,10.0,0,1,0,1,1,1,1,0
301,6,Dakahlia,Delta,Canal,2022,12,Winter,7.49,1.22,287,0.65,491,4.66,0.026,0.129,0.105,0.038,41,153,60,10.0,0,1,0,1,1,1,1,0
302,6,Dakahlia,Delta,Canal,2023,11,Autumn,7.54,0.97,289,0.54,499,7.24,0.018,0.159,0.122,0.038,46,125,64,10.0,1,1,1,1,1,1,0,0
303,6,Dakahlia,Delta,Canal,2022,5,Spring,7.58,2.44,260,0.55,502,8.01,0.026,0.183,0.113,0.029,48,124,39,10.0,0,1,0,1,1,1,1,0
304,6,Dakahlia,Delta,Canal,2021,1,Winter,7.58,1.83,344,0.59,482,4.3,0.025,0.077,0.09,0.028,51,157,42,10.0,0,1,0,1,1,1,1,0
305,6,Dakahlia,Delta,Canal,2022,8,Summer,7.58,2.79,315,0.42,518,8.85,0.038,0.212,0.178,0.052,37,161,50,10.0,0,1,0,1,1,1,1,0
306,6,Dakahlia,Delta,Canal,2020,5,Spring,7.66,1.97,273,0.39,515,4.79,0.02,0.223,0.135,0.036,36,151,55,10.0,0,1,0,1,1,1,1,0
307,6,Dakahlia,Delta,Canal,2022,3,Spring,7.79,0.88,269,0.43,505,7.64,0.016,0.158,0.118,0.028,43,157,43,10.0,0,1,1,1,1,1,1,1
308,6,Dakahlia,Delta,Canal,2020,12,Winter,7.71,1.46,273,0.47,493,5.05,0.022,0.145,0.091,0.025,35,169,63,10.0,0,1,0,1,1,1,1,0
309,6,Dakahlia,Delta,Canal,2021,12,Winter,7.72,1.39,315,0.51,472,4.86,0.014,0.06,0.077,0.03,54,132,55,10.0,0,1,0,1,1,1,1,0
310,6,Dakahlia,Delta,Canal,2021,6,Summer,7.53,3.16,331,0.48,481,5.69,0.023,0.183,0.194,0.05,49,109,41,10.0,0,1,0,1,1,1,1,0
311,6,Dakahlia,Delta,Canal,2023,5,Spring,7.49,1.32,312,0.58,481,5.47,0.013,0.088,0.086,0.044,52,154,38,10.0,0,1,0,1,1,1,1,0
312,6,Dakahlia,Delta,Canal,2020,8,Summer,7.51,1.69,251,0.46,547,6.58,0.038,0.258,0.143,0.048,59,159,49,10.0,0,1,0,1,1,1,1,0
313,6,Dakahlia,Delta,Canal,2022,10,Autumn,7.3,0.38,261,0.43,588,6.47,0.028,0.145,0.116,0.053,36,155,59,10.0,0,1,1,1,1,1,1,0
314,6,Dakahlia,Delta,Canal,2022,5,Spring,7.67,2.78,337,0.43,567,6.12,0.026,0.102,0.111,0.028,53,165,33,10.0,0,1,0,1,1,1,1,0
315,6,Dakahlia,Delta,Canal,2023,1,Winter,7.77,1.35,294,0.5,511,7.16,0.019,0.13,0.123,0.023,41,137,46,10.0,0,1,0,1,1,1,1,0
316,6,Dakahlia,Delta,Canal,2023,9,Autumn,7.69,1.82,298,0.46,490,4.74,0.018,0.178,0.098,0.047,46,173,52,10.0,0,1,0,1,1,1,1,0
317,6,Dakahlia,Delta,Canal,2022,5,Spring,7.62,2.27,261,0.5,508,4.52,0.029,0.263,0.115,0.039,47,135,35,10.0,1,1,0,1,1,1,0,0
318,6,Dakahlia,Delta,Canal,2022,3,Spring,7.67,0.87,331,0.48,490,6.77,0.018,0.199,0.149,0.033,62,158,53,10.0,0,1,1,1,1,1,1,1
319,6,Dakahlia,Delta,Canal,2022,8,Summer,7.5,4.0,293,0.36,514,8.55,0.042,0.214,0.123,0.056,35,140,47,10.0,0,1,0,1,1,1,1,0
320,6,Dakahlia,Delta,Canal,2023,7,Summer,7.56,1.41,308,0.55,506,8.13,0.035,0.255,0.162,0.06,51,139,46,10.0,0,1,0,1,1,1,1,0
321,6,Dakahlia,Delta,Canal,2023,7,Summer,7.71,1.73,316,0.5,514,7.75,0.037,0.251,0.216,0.042,50,138,43,10.0,0,1,0,1,1,1,1,0
322,6,Dakahlia,Delta,Canal,2022,2,Winter,7.69,1.63,277,0.31,461,3.88,0.023,0.13,0.138,0.041,59,131,51,10.0,0,1,0,1,1,1,1,0
323,6,Dakahlia,Delta,Canal,2022,7,Summer,7.79,0.51,305,0.51,489,6.45,0.038,0.245,0.167,0.044,40,105,47,10.0,0,1,1,1,1,1,1,1
324,6,Dakahlia,Delta,Canal,2021,1,Winter,7.45,1.67,274,0.44,505,5.69,0.034,0.178,0.126,0.026,38,148,48,10.0,1,1,0,1,1,1,0,0
325,6,Dakahlia,Delta,Canal,2023,10,Autumn,7.49,1.54,294,0.67,542,7.61,0.015,0.156,0.121,0.02,55,158,45,10.0,0,1,0,1,1,1,1,0
326,6,Dakahlia,Delta,Canal,2022,7,Summer,7.42,1.85,302,0.68,466,9.3,0.033,0.272,0.159,0.042,52,158,56,10.0,0,1,0,1,1,1,1,0
327,7,Sharqia,Delta,Canal/Nile,2021,4,Spring,7.42,1.93,311,0.56,519,4.47,0.015,0.114,0.141,0.061,53,190,60,10.0,0,1,0,1,1,1,1,0
328,7,Sharqia,Delta,Canal/Nile,2023,5,Spring,7.43,2.26,298,0.52,515,5.06,0.021,0.219,0.134,0.047,52,131,68,10.0,0,1,0,1,1,1,1,0
329,7,Sharqia,Delta,Canal/Nile,2023,11,Autumn,7.94,2.53,273,0.41,488,6.87,0.029,0.213,0.083,0.032,48,127,44,10.0,1,1,0,1,1,1,0,0
330,7,Sharqia,Delta,Canal/Nile,2021,8,Summer,7.44,3.34,315,0.31,625,9.21,0.04,0.227,0.182,0.056,42,157,40,10.0,0,1,0,1,1,1,1,0
331,7,Sharqia,Delta,Canal/Nile,2023,5,Spring,7.58,1.86,317,0.44,575,6.29,0.024,0.19,0.124,0.036,53,143,44,10.0,1,1,0,1,1,1,0,0
332,7,Sharqia,Delta,Canal/Nile,2020,10,Autumn,7.56,1.02,313,0.58,466,5.26,0.012,0.211,0.157,0.036,40,142,49,10.0,0,1,0,1,1,1,1,0
333,7,Sharqia,Delta,Canal/Nile,2023,10,Autumn,7.49,2.03,288,0.52,462,5.43,0.023,0.257,0.118,0.018,31,161,56,10.0,3,1,0,1,1,1,0,0
334,7,Sharqia,Delta,Canal/Nile,2023,6,Summer,7.39,2.92,315,0.45,552,7.49,0.025,0.321,0.213,0.055,51,183,53,10.0,1,1,0,1,1,1,0,0
335,7,Sharqia,Delta,Canal/Nile,2020,4,Spring,7.52,2.65,327,0.48,509,6.75,0.03,0.147,0.143,0.037,49,144,48,10.0,1,1,0,1,1,1,0,0
336,7,Sharqia,Delta,Canal/Nile,2023,5,Spring,7.76,1.97,318,0.63,568,5.53,0.026,0.111,0.153,0.035,31,139,58,10.0,0,1,0,1,1,1,1,0
337,7,Sharqia,Delta,Canal/Nile,2022,9,Autumn,7.57,2.01,266,0.51,482,5.62,0.029,0.194,0.103,0.038,35,181,49,10.0,0,1,0,1,1,1,1,0
338,7,Sharqia,Delta,Canal/Nile,2020,8,Summer,7.7,2.31,380,0.46,420,10.29,0.039,0.292,0.149,0.053,51,156,38,10.0,2,1,0,1,1,1,0,0
339,7,Sharqia,Delta,Canal/Nile,2023,12,Winter,7.6,1.52,244,0.43,497,4.04,0.018,0.116,0.112,0.039,55,158,67,10.0,0,1,0,1,1,1,1,0
340,7,Sharqia,Delta,Canal/Nile,2021,12,Winter,7.68,0.87,321,0.56,475,5.24,0.021,0.136,0.109,0.027,61,149,57,10.0,0,1,1,1,1,1,1,1
341,7,Sharqia,Delta,Canal/Nile,2020,1,Winter,7.47,1.53,322,0.45,420,3.64,0.026,0.076,0.137,0.042,49,171,55,10.0,0,1,0,1,1,1,1,0
342,7,Sharqia,Delta,Canal/Nile,2021,7,Summer,7.48,3.04,315,0.67,562,7.01,0.034,0.24,0.118,0.068,55,170,53,10.0,3,1,0,1,1,1,0,0
343,7,Sharqia,Delta,Canal/Nile,2021,9,Autumn,7.47,2.26,324,0.52,583,4.86,0.018,0.099,0.148,0.043,56,139,38,10.0,1,1,0,1,1,1,0,0
344,7,Sharqia,Delta,Canal/Nile,2021,5,Spring,7.58,1.19,324,0.38,560,5.08,0.031,0.173,0.104,0.053,51,154,57,10.0,0,1,0,1,1,1,1,0
345,7,Sharqia,Delta,Canal/Nile,2023,2,Winter,7.48,1.66,316,0.71,534,4.57,0.026,0.186,0.102,0.022,44,176,37,10.0,0,1,0,1,1,1,1,0
346,7,Sharqia,Delta,Canal/Nile,2023,2,Winter,7.6,1.22,364,0.5,507,5.59,0.018,0.165,0.075,0.032,45,140,66,10.0,0,1,0,1,1,1,1,0
347,7,Sharqia,Delta,Canal/Nile,2022,1,Winter,7.57,1.85,285,0.27,551,8.19,0.021,0.17,0.099,0.047,48,157,58,10.0,1,1,0,1,1,1,0,0
348,7,Sharqia,Delta,Canal/Nile,2023,12,Winter,7.34,1.68,324,0.45,589,4.44,0.02,0.192,0.108,0.02,51,153,57,10.0,0,1,0,1,1,1,1,0
349,7,Sharqia,Delta,Canal/Nile,2022,8,Summer,7.43,2.34,291,0.47,558,8.77,0.044,0.37,0.192,0.064,72,142,53,10.0,2,1,0,1,1,1,0,0
350,7,Sharqia,Delta,Canal/Nile,2020,4,Spring,7.37,2.0,337,0.43,541,9.28,0.033,0.154,0.151,0.03,23,160,64,10.0,0,1,0,1,1,1,1,0
351,7,Sharqia,Delta,Canal/Nile,2023,10,Autumn,7.53,0.64,308,0.56,514,6.39,0.027,0.19,0.107,0.044,35,160,62,10.0,1,1,1,1,1,1,0,0
352,7,Sharqia,Delta,Canal/Nile,2023,2,Winter,7.55,0.17,342,0.67,576,0.94,0.024,0.143,0.078,0.033,48,169,51,10.0,0,1,1,1,1,1,1,1
353,7,Sharqia,Delta,Canal/Nile,2023,5,Spring,7.46,0.71,348,0.44,479,5.9,0.025,0.12,0.134,0.029,64,169,48,10.0,3,1,1,1,1,1,0,0
354,7,Sharqia,Delta,Canal/Nile,2023,2,Winter,7.43,1.4,291,0.57,513,6.2,0.024,0.13,0.119,0.026,50,154,58,10.0,0,1,0,1,1,1,1,0
355,7,Sharqia,Delta,Canal/Nile,2022,10,Autumn,7.47,1.03,347,0.46,538,6.86,0.015,0.165,0.151,0.033,34,144,49,10.0,0,1,0,1,1,1,1,0
356,7,Sharqia,Delta,Canal/Nile,2021,10,Autumn,7.56,1.55,311,0.48,571,5.87,0.021,0.179,0.14,0.051,43,162,54,10.0,0,1,0,1,1,1,1,0
357,7,Sharqia,Delta,Canal/Nile,2022,1,Winter,7.26,1.68,313,0.53,532,4.51,0.028,0.169,0.073,0.044,36,176,63,10.0,0,1,0,1,1,1,1,0
358,7,Sharqia,Delta,Canal/Nile,2021,11,Autumn,7.68,1.19,265,0.5,507,5.88,0.02,0.269,0.084,0.064,45,163,46,10.0,1,1,0,1,1,1,0,0
359,7,Sharqia,Delta,Canal/Nile,2022,9,Autumn,7.54,0.91,303,0.57,489,5.85,0.027,0.153,0.154,0.044,67,174,43,10.0,1,1,1,1,1,1,0,0
360,7,Sharqia,Delta,Canal/Nile,2021,12,Winter,7.81,0.27,309,0.59,519,2.38,0.012,0.175,0.114,0.038,42,165,43,10.0,0,1,1,1,1,1,1,1
361,7,Sharqia,Delta,Canal/Nile,2022,4,Spring,7.66,0.93,316,0.66,552,6.64,0.038,0.24,0.14,0.035,49,159,48,10.0,0,1,1,1,1,1,1,1
362,7,Sharqia,Delta,Canal/Nile,2022,12,Winter,7.65,1.64,282,0.58,483,5.63,0.025,0.03,0.117,0.056,30,159,35,10.0,0,1,0,1,1,1,1,0
363,7,Sharqia,Delta,Canal/Nile,2021,4,Spring,7.28,1.82,292,0.54,494,7.99,0.019,0.092,0.104,0.036,59,137,41,10.0,0,1,0,1,1,1,1,0
364,7,Sharqia,Delta,Canal/Nile,2020,11,Autumn,7.45,1.18,298,0.45,505,6.35,0.028,0.154,0.158,0.029,34,167,44,10.0,0,1,0,1,1,1,1,0
365,7,Sharqia,Delta,Canal/Nile,2021,3,Spring,7.54,2.76,308,0.43,544,7.39,0.032,0.197,0.134,0.041,39,178,41,10.0,0,1,0,1,1,1,1,0
366,7,Sharqia,Delta,Canal/Nile,2022,1,Winter,7.83,1.33,259,0.42,517,3.87,0.003,0.158,0.086,0.048,50,168,50,10.0,0,1,0,1,1,1,1,0
367,7,Sharqia,Delta,Canal/Nile,2021,12,Winter,7.63,0.8,344,0.49,550,5.28,0.009,0.127,0.124,0.034,60,167,43,10.0,1,1,1,1,1,1,0,0
368,7,Sharqia,Delta,Canal/Nile,2021,9,Autumn,7.59,1.64,290,0.57,520,7.48,0.02,0.132,0.119,0.04,44,105,54,10.0,0,1,0,1,1,1,1,0
369,7,Sharqia,Delta,Canal/Nile,2023,3,Spring,7.56,1.59,296,0.55,551,7.13,0.024,0.214,0.113,0.056,42,198,51,10.0,0,1,0,1,1,1,1,0
370,7,Sharqia,Delta,Canal/Nile,2023,8,Summer,7.55,1.98,291,0.39,480,7.22,0.031,0.297,0.163,0.056,50,169,44,10.0,0,1,0,1,1,1,1,0
371,7,Sharqia,Delta,Canal/Nile,2021,12,Winter,7.6,1.46,338,0.59,528,3.94,0.015,0.232,0.111,0.048,53,174,58,10.0,0,1,0,1,1,1,1,0
372,8,Gharbia,Delta,Canal,2022,1,Winter,7.71,1.24,302,0.57,448,4.11,0.012,0.11,0.067,0.025,50,129,45,10.0,0,1,0,1,1,1,1,0
373,8,Gharbia,Delta,Canal,2022,8,Summer,7.63,2.29,317,0.59,623,5.35,0.024,0.185,0.147,0.029,29,136,33,10.0,0,1,0,1,1,1,1,0
374,8,Gharbia,Delta,Canal,2022,7,Summer,7.64,1.08,336,0.61,578,5.86,0.023,0.198,0.133,0.035,47,142,50,10.0,0,1,0,1,1,1,1,0
375,8,Gharbia,Delta,Canal,2021,6,Summer,7.76,0.9,329,0.59,573,4.98,0.03,0.187,0.161,0.059,57,153,61,10.0,0,1,1,1,1,1,1,0
376,8,Gharbia,Delta,Canal,2020,7,Summer,7.55,1.39,346,0.62,589,6.02,0.02,0.189,0.15,0.038,43,153,41,10.0,0,1,0,1,1,1,1,0
377,8,Gharbia,Delta,Canal,2022,8,Summer,7.85,1.9,340,0.56,525,5.3,0.024,0.136,0.131,0.039,51,146,44,10.0,1,1,0,1,1,1,0,0
378,8,Gharbia,Delta,Canal,2022,4,Spring,7.64,1.41,321,0.52,541,6.48,0.021,0.178,0.1,0.021,47,140,40,10.0,0,1,0,1,1,1,1,0
379,8,Gharbia,Delta,Canal,2023,4,Spring,7.71,0.84,296,0.46,545,3.25,0.021,0.12,0.088,0.029,39,148,55,10.0,0,1,1,1,1,1,1,1
380,8,Gharbia,Delta,Canal,2022,6,Summer,7.54,1.56,311,0.71,490,6.35,0.019,0.145,0.127,0.039,22,164,30,10.0,1,1,0,1,1,1,0,0
381,8,Gharbia,Delta,Canal,2022,3,Spring,7.74,1.29,291,0.52,530,4.76,0.015,0.106,0.086,0.038,35,163,44,10.0,0,1,0,1,1,1,1,0
382,8,Gharbia,Delta,Canal,2021,7,Summer,7.46,1.48,270,0.56,455,6.4,0.019,0.129,0.119,0.051,51,114,35,10.0,1,1,0,1,1,1,0,0
383,8,Gharbia,Delta,Canal,2022,5,Spring,7.33,0.88,320,0.47,529,3.28,0.016,0.147,0.064,0.033,45,165,45,10.0,0,1,1,1,1,1,1,1
384,8,Gharbia,Delta,Canal,2022,11,Autumn,7.46,1.66,271,0.43,517,4.88,0.028,0.147,0.122,0.02,62,115,40,10.0,0,1,0,1,1,1,1,0
385,8,Gharbia,Delta,Canal,2021,1,Winter,7.83,1.04,286,0.29,526,4.11,0.007,0.108,0.08,0.031,39,131,40,10.0,0,1,0,1,1,1,1,0
386,8,Gharbia,Delta,Canal,2023,6,Summer,7.59,2.69,334,0.69,517,6.97,0.036,0.17,0.123,0.033,36,127,39,10.0,0,1,0,1,1,1,1,0
387,8,Gharbia,Delta,Canal,2020,4,Spring,7.72,1.5,260,0.64,492,3.68,0.031,0.139,0.082,0.013,56,123,37,10.0,0,1,0,1,1,1,1,0
388,8,Gharbia,Delta,Canal,2022,7,Summer,7.49,2.49,335,0.61,559,4.9,0.017,0.199,0.144,0.05,43,139,43,10.0,0,1,0,1,1,1,1,0
389,8,Gharbia,Delta,Canal,2020,6,Summer,7.57,1.34,286,0.61,583,5.32,0.024,0.226,0.136,0.042,35,156,38,10.0,0,1,0,1,1,1,1,0
390,8,Gharbia,Delta,Canal,2021,3,Spring,7.76,1.18,308,0.5,491,4.26,0.019,0.153,0.116,0.023,52,128,59,10.0,0,1,0,1,1,1,1,0
391,8,Gharbia,Delta,Canal,2022,7,Summer,7.77,1.33,333,0.46,503,4.9,0.03,0.13,0.159,0.037,50,153,46,10.0,0,1,0,1,1,1,1,0
392,8,Gharbia,Delta,Canal,2023,9,Autumn,7.64,1.26,318,0.51,519,3.96,0.013,0.127,0.087,0.027,45,146,41,10.0,0,1,0,1,1,1,1,0
393,8,Gharbia,Delta,Canal,2021,9,Autumn,7.76,1.04,297,0.46,538,3.87,0.021,0.113,0.077,0.023,48,134,43,10.0,0,1,0,1,1,1,1,0
394,8,Gharbia,Delta,Canal,2022,12,Winter,7.41,1.47,250,0.54,495,2.99,0.017,0.09,0.084,0.025,62,123,44,10.0,1,1,0,1,1,1,0,0
395,8,Gharbia,Delta,Canal,2020,1,Winter,7.75,0.82,283,0.67,506,3.86,0.018,0.075,0.061,0.026,28,142,38,10.0,0,1,1,1,1,1,1,1
396,8,Gharbia,Delta,Canal,2022,2,Winter,7.55,0.92,314,0.51,509,2.94,0.024,0.168,0.106,0.023,42,133,54,10.0,0,1,1,1,1,1,1,1
397,8,Gharbia,Delta,Canal,2023,10,Autumn,7.59,1.18,344,0.59,501,3.38,0.015,0.167,0.105,0.02,46,144,46,10.0,0,1,0,1,1,1,1,0
398,8,Gharbia,Delta,Canal,2023,6,Summer,7.83,1.43,296,0.31,472,4.39,0.026,0.172,0.099,0.037,49,153,32,10.0,0,1,0,1,1,1,1,0
399,8,Gharbia,Delta,Canal,2021,8,Summer,7.6,1.53,295,0.45,529,5.83,0.022,0.149,0.134,0.034,43,138,54,10.0,0,1,0,1,1,1,1,0
400,8,Gharbia,Delta,Canal,2022,11,Autumn,7.83,1.01,316,0.54,554,3.92,0.014,0.171,0.096,0.023,41,134,37,10.0,0,1,0,1,1,1,1,0
401,8,Gharbia,Delta,Canal,2023,6,Summer,7.69,0.53,293,0.52,467,5.26,0.031,0.144,0.119,0.051,37,167,43,10.0,0,1,1,1,1,1,1,0
402,8,Gharbia,Delta,Canal,2023,12,Winter,7.49,1.69,287,0.6,510,3.59,0.018,0.09,0.103,0.013,37,166,48,10.0,0,1,0,1,1,1,1,0
403,8,Gharbia,Delta,Canal,2022,1,Winter,7.6,1.01,289,0.62,551,3.65,0.014,0.109,0.077,0.018,50,152,54,10.0,0,1,0,1,1,1,1,0
404,8,Gharbia,Delta,Canal,2023,7,Summer,7.9,0.05,299,0.52,584,6.03,0.028,0.22,0.122,0.044,41,128,57,10.0,0,1,1,1,1,1,1,1
405,8,Gharbia,Delta,Canal,2022,8,Summer,7.87,1.56,340,0.59,582,5.3,0.029,0.18,0.066,0.032,50,153,36,10.0,0,1,0,1,1,1,1,0
406,8,Gharbia,Delta,Canal,2023,6,Summer,7.65,1.4,336,0.59,476,5.8,0.019,0.153,0.113,0.04,48,138,42,10.0,0,1,0,1,1,1,1,0
407,8,Gharbia,Delta,Canal,2022,2,Winter,7.68,1.07,294,0.65,507,2.74,0.02,0.158,0.038,0.04,37,130,35,10.0,0,1,0,1,1,1,1,0
408,8,Gharbia,Delta,Canal,2021,8,Summer,7.77,1.96,309,0.4,498,5.77,0.021,0.188,0.14,0.046,35,180,50,10.0,0,1,0,1,1,1,1,0
409,8,Gharbia,Delta,Canal,2022,7,Summer,7.68,1.86,294,0.54,529,5.52,0.029,0.205,0.108,0.036,40,167,61,10.0,1,1,0,1,1,1,0,0
410,8,Gharbia,Delta,Canal,2023,8,Summer,7.55,1.47,320,0.43,513,5.56,0.02,0.236,0.109,0.035,37,174,49,10.0,0,1,0,1,1,1,1,0
411,8,Gharbia,Delta,Canal,2023,1,Winter,7.74,1.43,306,0.49,533,3.32,0.017,0.082,0.086,0.023,47,144,42,10.0,0,1,0,1,1,1,1,0
412,8,Gharbia,Delta,Canal,2023,5,Spring,7.76,0.06,284,0.47,466,3.81,0.02,0.151,0.095,0.023,48,147,51,10.0,0,1,1,1,1,1,1,1
413,8,Gharbia,Delta,Canal,2022,10,Autumn,7.71,1.01,299,0.45,466,4.19,0.014,0.077,0.068,0.021,51,148,38,10.0,0,1,0,1,1,1,1,0
414,8,Gharbia,Delta,Canal,2022,10,Autumn,7.58,0.11,282,0.43,512,2.87,0.021,0.163,0.089,0.021,47,175,55,10.0,1,1,1,1,1,1,0,0
415,8,Gharbia,Delta,Canal,2021,11,Autumn,7.68,1.85,281,0.51,511,4.9,0.019,0.16,0.111,0.032,36,172,54,10.0,0,1,0,1,1,1,1,0
416,8,Gharbia,Delta,Canal,2021,12,Winter,7.58,0.97,250,0.63,471,2.62,0.011,0.165,0.063,0.03,45,132,37,10.0,1,1,1,1,1,1,0,0
417,9,Menoufia,Delta,Canal,2020,2,Winter,7.5,0.66,255,0.61,473,3.26,0.013,0.106,0.084,0.02,44,162,36,10.0,0,1,1,1,1,1,1,1
418,9,Menoufia,Delta,Canal,2022,11,Autumn,7.59,1.04,326,0.52,501,4.37,0.031,0.131,0.09,0.022,40,122,36,10.0,0,1,0,1,1,1,1,0
419,9,Menoufia,Delta,Canal,2023,8,Summer,7.9,1.95,303,0.52,552,6.41,0.024,0.241,0.116,0.028,32,136,44,10.0,2,1,0,1,1,1,0,0
420,9,Menoufia,Delta,Canal,2023,11,Autumn,7.81,2.02,282,0.63,462,3.48,0.007,0.207,0.072,0.027,37,150,39,10.0,0,1,0,1,1,1,1,0
421,9,Menoufia,Delta,Canal,2022,2,Winter,7.48,0.08,279,0.6,492,4.22,0.019,0.078,0.078,0.013,39,140,42,10.0,0,1,1,1,1,1,1,1
422,9,Menoufia,Delta,Canal,2020,3,Spring,7.55,1.52,251,0.62,433,5.02,0.019,0.135,0.084,0.019,34,152,42,10.0,0,1,0,1,1,1,1,0
423,9,Menoufia,Delta,Canal,2023,12,Winter,7.59,1.42,237,0.47,540,4.16,0.023,0.149,0.054,0.028,44,175,47,10.0,0,1,0,1,1,1,1,0
424,9,Menoufia,Delta,Canal,2023,7,Summer,7.86,2.0,297,0.61,554,5.29,0.024,0.143,0.135,0.044,34,132,33,10.0,0,1,0,1,1,1,1,0
425,9,Menoufia,Delta,Canal,2022,8,Summer,7.32,1.28,296,0.54,576,7.41,0.019,0.12,0.127,0.034,35,139,44,10.0,0,1,0,1,1,1,1,0
426,9,Menoufia,Delta,Canal,2021,12,Winter,7.52,0.68,284,0.39,529,3.7,0.018,0.1,0.069,0.026,35,133,36,10.0,0,1,1,1,1,1,1,1
427,9,Menoufia,Delta,Canal,2021,7,Summer,7.48,2.63,290,0.47,487,7.11,0.024,0.236,0.121,0.031,41,138,42,10.0,0,1,0,1,1,1,1,0
428,9,Menoufia,Delta,Canal,2021,1,Winter,7.91,1.18,253,0.42,493,3.26,0.01,0.117,0.076,0.035,37,132,53,10.0,0,1,0,1,1,1,1,0
429,9,Menoufia,Delta,Canal,2021,9,Autumn,7.55,0.72,278,0.61,547,5.16,0.01,0.183,0.051,0.034,40,150,33,10.0,0,1,1,1,1,1,1,1
430,9,Menoufia,Delta,Canal,2021,3,Spring,7.82,1.02,304,0.52,498,3.77,0.023,0.146,0.092,0.024,40,148,44,10.0,0,1,0,1,1,1,1,0
431,9,Menoufia,Delta,Canal,2021,5,Spring,7.62,0.99,261,0.52,494,5.02,0.015,0.149,0.057,0.026,46,148,46,10.0,1,1,1,1,1,1,0,0
432,9,Menoufia,Delta,Canal,2022,7,Summer,7.79,2.39,291,0.5,516,6.76,0.029,0.177,0.082,0.044,29,117,40,10.0,0,1,0,1,1,1,1,0
433,9,Menoufia,Delta,Canal,2023,12,Winter,7.71,0.43,301,0.5,520,4.35,0.024,0.173,0.105,0.034,45,140,48,10.0,1,1,1,1,1,1,0,0
434,9,Menoufia,Delta,Canal,2020,1,Winter,7.78,1.13,332,0.37,472,3.68,0.022,0.135,0.083,0.016,35,144,32,10.0,0,1,0,1,1,1,1,0
435,9,Menoufia,Delta,Canal,2022,2,Winter,7.52,1.21,279,0.6,478,1.92,0.021,0.107,0.072,0.027,45,146,30,10.0,0,1,0,1,1,1,1,0
436,9,Menoufia,Delta,Canal,2020,7,Summer,7.67,2.04,298,0.48,488,5.0,0.024,0.219,0.155,0.048,44,161,41,10.0,0,1,0,1,1,1,1,0
437,9,Menoufia,Delta,Canal,2022,1,Winter,7.42,0.86,296,0.44,545,4.61,0.009,0.089,0.093,0.029,59,125,52,10.0,0,1,1,1,1,1,1,1
438,9,Menoufia,Delta,Canal,2022,5,Spring,7.41,1.55,274,0.42,427,4.11,0.013,0.142,0.127,0.029,57,123,33,10.0,0,1,0,1,1,1,1,0
439,9,Menoufia,Delta,Canal,2022,7,Summer,7.87,1.5,310,0.64,451,6.7,0.032,0.222,0.128,0.032,53,140,37,10.0,0,1,0,1,1,1,1,0
440,9,Menoufia,Delta,Canal,2021,10,Autumn,7.75,1.11,328,0.49,466,4.92,0.017,0.106,0.08,0.028,52,108,42,10.0,1,1,0,1,1,1,0,0
441,9,Menoufia,Delta,Canal,2020,8,Summer,7.69,1.9,288,0.57,487,5.47,0.024,0.25,0.058,0.042,43,112,45,10.0,0,1,0,1,1,1,1,0
442,9,Menoufia,Delta,Canal,2022,8,Summer,7.72,2.28,315,0.6,489,5.03,0.016,0.181,0.11,0.047,41,123,35,10.0,0,1,0,1,1,1,1,0
443,9,Menoufia,Delta,Canal,2022,8,Summer,7.72,1.77,299,0.64,517,7.42,0.024,0.152,0.12,0.019,49,122,39,10.0,0,1,0,1,1,1,1,0
444,9,Menoufia,Delta,Canal,2022,8,Summer,7.63,1.86,295,0.61,540,6.29,0.029,0.192,0.163,0.029,44,140,49,10.0,0,1,0,1,1,1,1,0
